station_from_nlc,station_to_nlc,time,line
691,693,1.5,"Metropolitan"
606,740,3.54,"Metropolitan"
554,748,3.5,"Metropolitan"
579,752,7,"Metropolitan"
677,752,2.53,"Metropolitan"
598,759,2,"Metropolitan"
683,759,2,"Metropolitan"
625,507,2.5,"Northern"
665,507,2.5,"Northern"
604,508,3,"Northern"
733,508,2,"Northern"
549,512,2,"Northern"
726,512,2,"Northern"
635,513,2,"Northern"
645,513,2,"Northern"
540,519,2,"Northern"
594,519,2,"Northern"
570,525,2,"Northern"
635,525,1.5,"Northern"
584,529,2.5,"Northern"
601,529,2,"Northern"
551,532,2,"Northern"
568,532,2.5,"Northern"
540,535,2.56,"Northern"
574,535,4.02,"Northern"
619,535,3.08,"Northern"
648,535,2.04,"Northern"
519,540,2,"Northern"
535,540,1.5,"Northern"
542,732,1,"Northern"
631,732,1.5,"Northern"
548,547,1.5,"Northern"
549,547,2.5,"Northern"
547,548,1.5,"Northern"
716,548,1.5,"Northern"
512,549,2,"Northern"
547,549,2.5,"Northern"
532,551,2.5,"Northern"
601,551,3,"Northern"
711,552,2,"Northern"
727,552,2,"Northern"
578,565,3.5,"Northern"
604,565,3,"Northern"
532,568,3.6,"Northern"
525,570,2,"Northern"
616,570,2,"Northern"
732,542,1,"Northern"
747,542,2,"Northern"
535,574,3.55,"Northern"
625,574,1.52,"Northern"
648,574,2,"Northern"
745,574,1.5,"Northern"
565,578,4.26,"Northern"
1527,578,3,"Northern"
756,578,2.51,"Northern"
529,584,3.64,"Northern"
594,584,5.36,"Northern"
728,586,1.5,"Northern"
745,586,1.5,"Northern"
519,594,2.5,"Northern"
584,594,3.5,"Northern"
529,601,2,"Northern"
551,601,3,"Northern"
730,602,4.5,"Northern"
508,604,3,"Northern"
565,604,3,"Northern"
570,616,3.47,"Northern"
668,616,2.91,"Northern"
747,616,3.4,"Northern"
535,619,2,"Northern"
733,619,1.5,"Northern"
507,625,2.5,"Northern"
574,625,1.5,"Northern"
732,631,1.5,"Northern"
728,631,1,"Northern"
513,635,2,"Northern"
525,635,1.5,"Northern"
578,1527,2.5,"Northern"
513,645,2.01,"Northern"
665,645,1.51,"Northern"
711,647,3.56,"Northern"
535,648,1.5,"Northern"
574,648,1.5,"Northern"
507,665,3,"Northern"
645,665,1.5,"Northern"
616,668,2,"Northern"
716,668,2.5,"Northern"
552,711,2,"Northern"
647,711,2.5,"Northern"
548,716,2,"Northern"
668,716,2.5,"Northern"
512,726,2,"Northern"
727,726,2,"Northern"
552,727,2,"Northern"
726,727,2,"Northern"
586,728,1.5,"Northern"
631,728,1.5,"Northern"
602,730,3.5,"Northern"
771,730,2.5,"Northern"
508,733,1.5,"Northern"
619,733,1.5,"Northern"
574,745,1.5,"Northern"
586,745,1.5,"Northern"
542,747,1.5,"Northern"
616,747,3,"Northern"
578,756,2,"Northern"
771,756,1.5,"Northern"
730,771,2.5,"Northern"
756,771,2,"Northern"
561,500,3.45,"Piccadilly"
593,500,6.87,"Piccadilly"
704,500,4.28,"Piccadilly"
671,505,2.5,"Piccadilly"
721,505,2.5,"Piccadilly"
527,509,3.91,"Piccadilly"
706,509,4.35,"Piccadilly"
6119,510,1.5,"Piccadilly"
609,510,1.5,"Piccadilly"
562,516,3,"Piccadilly"
593,516,2,"Piccadilly"
655,526,2,"Piccadilly"
667,526,3,"Piccadilly"
509,527,2,"Piccadilly"
770,527,2.5,"Piccadilly"
609,534,1.5,"Piccadilly"
625,534,3.5,"Piccadilly"
664,550,3.09,"Piccadilly"
607,553,2,"Piccadilly"
631,553,1.01,"Piccadilly"
500,561,2.01,"Piccadilly"
654,561,2.5,"Piccadilly"
516,562,3,"Piccadilly"
583,562,1.5,"Piccadilly"
683,564,2.5,"Piccadilly"
693,564,2,"Piccadilly"
510,6119,1.5,"Piccadilly"
638,6119,2,"Piccadilly"
562,583,1.5,"Piccadilly"
708,583,1.5,"Piccadilly"
614,590,2.02,"Piccadilly"
674,590,1.5,"Piccadilly"
500,593,5.53,"Piccadilly"
516,593,2,"Piccadilly"
780,779,3,"Piccadilly"
613,779,5.5,"Piccadilly"
779,780,4,"Piccadilly"
781,780,5,"Piccadilly"
783,780,4,"Piccadilly"
779,781,2.5,"Piccadilly"
780,783,3.5,"Piccadilly"
615,606,2,"Piccadilly"
740,606,3,"Piccadilly"
553,607,1.5,"Piccadilly"
694,607,1.5,"Piccadilly"
510,609,1.5,"Piccadilly"
534,609,1.5,"Piccadilly"
612,611,1.5,"Piccadilly"
613,611,2.5,"Piccadilly"
611,612,1.5,"Piccadilly"
667,612,2,"Piccadilly"
779,613,3.5,"Piccadilly"
611,613,2,"Piccadilly"
590,614,2.02,"Piccadilly"
626,614,1.5,"Piccadilly"
606,615,2,"Piccadilly"
691,615,2.5,"Piccadilly"
534,625,3.52,"Piccadilly"
694,625,2.05,"Piccadilly"
614,626,1.5,"Piccadilly"
708,626,3,"Piccadilly"
553,631,1,"Piccadilly"
674,631,1.5,"Piccadilly"
6119,638,2,"Piccadilly"
735,638,3,"Piccadilly"
561,654,2,"Piccadilly"
671,654,2.03,"Piccadilly"
526,655,3.38,"Piccadilly"
704,655,1.98,"Piccadilly"
550,664,2.45,"Piccadilly"
